initial_state,h1_steps,h1_expanded,h2_steps,h2_expanded,h3_steps,h3_expanded
"[3, 4, 7, 11, 5, 2, 12, 8, 1, 6, None, 15, 9, 13, 14, 10]",TIMEOUT,TIMEOUT,33,19067,33,44456
"[10, 9, 2, 3, 7, 1, 6, 4, 13, 5, 11, 8, 14, None, 15, 12]",25,18490,25,372,25,662
"[1, 8, 7, 3, 5, 2, 15, None, 10, 6, 12, 4, 9, 13, 11, 14]",25,26079,25,826,25,1148
"[1, 6, None, 8, 5, 7, 2, 3, 9, 14, 12, 10, 13, 11, 15, 4]",25,51560,25,1340,25,1962
"[13, 1, 2, 3, 5, 7, 14, 4, 6, 11, None, 8, 10, 9, 15, 12]",25,23249,25,317,25,655
"[1, 3, None, 8, 5, 15, 11, 4, 13, 2, 6, 7, 10, 9, 14, 12]",25,23420,25,367,25,801
"[2, 6, 3, 4, 5, 1, 13, 8, 10, 7, None, 11, 14, 9, 15, 12]",21,4154,21,178,21,367
"[5, 7, None, 4, 9, 1, 3, 8, 6, 11, 2, 14, 13, 10, 15, 12]",23,11563,23,421,23,846
"[2, 4, None, 3, 1, 6, 15, 8, 5, 14, 12, 7, 13, 9, 10, 11]",TIMEOUT,TIMEOUT,29,6207,29,12774
"[1, 3, 7, 4, 5, 2, 14, 8, 6, 9, 11, 12, 13, None, 10, 15]",23,21507,23,2166,23,2985
"[4, 7, 8, 3, 1, 5, 2, 12, 9, 11, 6, 15, 13, 14, 10, None]",TIMEOUT,TIMEOUT,31,11144,31,21917
"[1, 13, 2, 3, 6, None, 7, 4, 5, 9, 14, 8, 10, 11, 12, 15]",27,112165,27,1782,27,4302
"[None, 6, 3, 4, 5, 1, 8, 12, 13, 2, 11, 7, 10, 9, 14, 15]",23,5476,23,432,23,602
"[6, 7, 8, 3, 2, 9, 4, None, 1, 10, 5, 11, 13, 14, 15, 12]",27,95436,27,2678,27,4436
"[1, 6, None, 8, 5, 11, 4, 2, 9, 7, 3, 12, 13, 10, 14, 15]",17,347,17,40,17,46
"[6, 1, 2, 3, 5, 10, 8, 4, 9, 14, 15, 11, 13, 7, 12, None]",27,109670,27,5123,27,8357
"[9, 5, 2, 4, 6, 3, 11, None, 1, 8, 12, 7, 13, 10, 14, 15]",TIMEOUT,TIMEOUT,29,6285,29,10341
