initial_state,h1_steps,h1_expanded,h2_steps,h2_expanded,h3_steps,h3_expanded
"[5, 1, 2, 4, 10, 14, 3, 6, None, 11, 12, 8, 9, 13, 7, 15]",20,1416,20,83,20,83
"[1, 6, 2, 4, None, 3, 5, 7, 9, 11, 10, 15, 13, 14, 12, 8]",23,27196,23,813,23,1463
"[1, 2, 3, 4, 14, 5, 7, 8, 9, 6, 15, 11, 10, 13, 12, None]",18,1588,18,182,18,223
"[2, None, 8, 3, 1, 5, 12, 4, 13, 6, 15, 14, 10, 9, 11, 7]",TIMEOUT,TIMEOUT,31,8556,31,26778
"[1, 2, 4, 7, 5, 6, 3, 8, 9, 14, 10, 11, 13, None, 15, 12]",10,30,10,19,10,19
"[3, 4, None, 7, 2, 1, 8, 6, 5, 13, 11, 12, 10, 9, 14, 15]",24,11301,24,258,24,433
"[5, 3, 2, 4, 13, None, 1, 6, 14, 9, 11, 8, 15, 10, 7, 12]",26,77351,26,1127,26,1490
"[5, 1, 2, 4, None, 9, 3, 8, 6, 7, 10, 11, 13, 14, 15, 12]",13,87,13,22,13,25
"[1, 10, 6, 2, 5, 15, 7, 3, None, 9, 14, 4, 13, 12, 8, 11]",24,22541,24,79,24,212
"[5, None, 3, 4, 10, 1, 6, 8, 2, 9, 12, 11, 13, 14, 7, 15]",21,7317,21,531,21,677
"[1, 2, 3, 4, 9, 6, None, 7, 13, 10, 11, 12, 14, 8, 5, 15]",21,12081,21,679,21,1104
"[None, 3, 4, 8, 1, 2, 7, 15, 5, 9, 6, 11, 13, 10, 12, 14]",20,1576,20,68,20,100
"[2, 4, 7, None, 1, 3, 6, 15, 5, 9, 12, 8, 13, 10, 14, 11]",23,10098,23,198,23,433
"[None, 5, 2, 3, 9, 1, 7, 4, 10, 6, 15, 8, 13, 14, 12, 11]",16,113,16,26,16,28
"[5, 8, 3, 4, 2, 10, 1, 6, None, 9, 11, 12, 13, 14, 15, 7]",26,180405,26,2859,26,6317
"[1, 8, 7, 2, 5, 11, None, 3, 9, 6, 4, 15, 13, 12, 10, 14]",TIMEOUT,TIMEOUT,27,1146,27,3652
"[1, 2, 3, 4, 6, 10, 8, 11, 5, 13, 12, 14, 9, 7, 15, None]",22,13714,22,608,22,929
"[5, 1, 2, None, 10, 6, 3, 4, 11, 13, 7, 8, 9, 14, 15, 12]",19,873,19,74,19,85
"[5, 1, 2, 3, 9, 13, 15, 4, None, 7, 12, 8, 10, 6, 14, 11]",TIMEOUT,TIMEOUT,28,2579,28,6295
"[2, 3, 12, 4, 1, 7, 5, 8, 10, 13, 6, 15, 9, None, 14, 11]",22,6907,22,96,22,280
"[2, 6, 5, 4, 1, 10, 3, None, 9, 14, 7, 8, 13, 11, 15, 12]",18,1008,18,100,18,153
"[1, 2, 4, 8, 5, 10, 3, None, 9, 7, 15, 12, 13, 14, 6, 11]",16,872,16,87,16,127
"[1, 2, 8, 3, 10, 7, 4, None, 15, 12, 14, 11, 6, 9, 5, 13]",TIMEOUT,TIMEOUT,34,7719,34,32839
"[1, 2, None, 4, 9, 10, 3, 6, 7, 5, 11, 8, 13, 14, 15, 12]",16,640,16,92,16,104
"[None, 2, 7, 11, 1, 9, 8, 3, 5, 10, 4, 6, 13, 14, 15, 12]",26,108450,26,2191,26,4433
"[1, 11, 3, 8, 5, 14, 4, 6, 7, None, 2, 12, 10, 9, 13, 15]",27,177975,27,387,27,1605
"[5, 1, 2, 3, 6, 15, 10, 4, 9, 7, 11, 12, 13, 14, None, 8]",23,21912,23,1355,23,1783
"[5, 3, 4, 12, 7, 1, 6, 15, 9, 11, None, 8, 13, 2, 10, 14]",TIMEOUT,TIMEOUT,30,5815,30,9729
"[6, 3, 7, 4, 1, 9, 5, 8, 2, 10, None, 12, 13, 14, 11, 15]",22,18402,22,1378,22,1930
"[1, 7, 6, 3, 5, 2, None, 4, 13, 9, 10, 8, 14, 15, 12, 11]",17,264,17,30,17,41
"[1, 7, 6, 2, 5, 9, 3, None, 13, 11, 8, 4, 10, 14, 12, 15]",TIMEOUT,TIMEOUT,28,7656,28,13628
"[6, 5, 2, 4, 9, 1, 10, 8, None, 13, 3, 11, 14, 7, 15, 12]",20,1970,20,84,20,139
"[1, 10, 3, 4, 5, 12, 2, 8, 13, 9, 6, 7, 14, None, 11, 15]",26,194808,26,6537,26,10734
"[1, 2, 4, 11, 9, 3, 5, 6, 10, None, 8, 7, 13, 14, 15, 12]",21,8018,21,232,21,419
"[2, 3, 7, 4, 5, None, 13, 10, 1, 6, 12, 8, 14, 9, 11, 15]",24,27958,24,409,24,816
"[1, 2, 3, 4, 5, 8, 15, None, 9, 7, 6, 12, 13, 10, 14, 11]",16,945,16,86,16,108
"[6, 7, 1, 2, 9, 5, 8, 3, None, 13, 11, 4, 14, 10, 15, 12]",28,209732,28,4730,28,7663
"[1, 2, 3, 4, 9, 6, 11, 7, 13, 10, 15, 8, 5, 14, None, 12]",17,1192,17,356,17,357
"[13, 1, 2, 8, 14, 5, 4, 3, None, 9, 6, 11, 15, 10, 7, 12]",26,43575,26,199,26,341
"[5, 1, 3, 4, 2, 6, 12, 7, None, 10, 11, 15, 9, 13, 8, 14]",22,8302,22,349,22,585
"[1, 3, 6, 4, 13, 9, 2, 7, 14, 5, None, 12, 10, 15, 8, 11]",24,29963,24,403,24,952
"[3, 7, 4, 8, 1, 10, 6, 2, 9, None, 11, 12, 13, 5, 14, 15]",23,19596,23,831,23,1267
"[1, 2, 7, 3, 6, 12, 13, 4, 5, 14, 10, 8, 9, None, 11, 15]",22,8838,22,386,22,564
"[2, 3, None, 4, 1, 6, 11, 12, 5, 8, 7, 15, 13, 9, 10, 14]",22,8418,22,285,22,441
"[1, 2, 6, 4, 5, 8, None, 11, 9, 3, 14, 7, 13, 10, 15, 12]",TIMEOUT,TIMEOUT,27,25644,27,42185
"[1, 2, 10, 4, 5, 6, 7, 8, 13, 9, 14, 3, 15, 11, None, 12]",23,31279,23,1182,23,1926
"[1, 3, 7, 4, 9, None, 2, 8, 6, 13, 5, 12, 10, 14, 11, 15]",20,4811,20,305,20,501
"[9, 7, 1, 3, 5, 2, None, 4, 13, 8, 10, 11, 14, 6, 15, 12]",27,160449,27,2698,27,4234
"[2, 5, 3, 4, 6, 8, 14, 12, 1, 11, 9, 7, 13, None, 10, 15]",24,26663,24,411,24,834
"[1, 6, 2, 3, 13, 7, 10, 4, 14, 9, 8, 12, 5, 11, None, 15]",27,160085,27,3447,27,5683
"[1, 2, 11, None, 9, 5, 4, 3, 14, 13, 10, 6, 15, 12, 8, 7]",27,80832,27,91,27,302
"[5, 1, 8, 2, 6, 3, 4, 12, 9, None, 10, 7, 13, 14, 11, 15]",17,379,17,30,17,42
"[2, 4, 8, 11, 5, 1, 14, 10, 7, 3, 12, None, 9, 6, 13, 15]",TIMEOUT,TIMEOUT,35,17204,35,57550
"[2, 3, 4, None, 6, 5, 11, 7, 9, 12, 15, 8, 1, 10, 13, 14]",TIMEOUT,TIMEOUT,33,36191,33,62274
"[None, 1, 3, 4, 5, 2, 8, 11, 13, 6, 10, 7, 14, 9, 15, 12]",14,67,14,24,14,26
"[2, 10, 6, 3, 5, 13, 1, 4, 14, 15, 8, None, 9, 12, 7, 11]",TIMEOUT,TIMEOUT,29,851,29,2877
