generation,min_string,min_fitness,max_string,max_fitness,avg_fitness,sum_fitness
0,10000000000000000000000000000000000000000000110011001100110011001100110011001101,0.01204819277109886,10000000000000000000000000000000000000000000110011001100110011001100110011001101,0.01204819277109886,0.01204819277109886,1.204819277109886
1,00000000000000000000000010000000000000000000110011001100110011001100110011001101,8.33125233359998e-05,10100000000000000000000000000000000000001100110010001100110011001100110011001101,0.3009648546698145,0.014487874362147846,1.4487874362147846
2,00000000000000000000000000000000000000000001110011001100110011001100110011001101,8.523650466404388e-05,10100000000000000000000000000000000000001100110011001100110011001100110011001101,0.3018867924479606,0.05570894566231946,5.570894566231946
3,11100000000000000000000000000000000000001100110010001100100011001100110011001101,0.0003890621491033147,10100000000000000000000000000000000000001100110111001100110011001100110011001101,0.30492071763126916,0.22736234147390527,22.736234147390526
4,00100000000000000000000000000000000000001100110010001100110011001100110011001101,0.00038457459425407704,10100000000000000000000000000000000000001100111011001100110011001100110111000101,0.3068624513793218,0.2625911792979897,26.25911792979897
5,11100000000000000010000000000100001000001100110010001100110011001100110011001101,0.0003890545226607622,10100000000000000000000000000000000000001100111011001100110011001100110111000101,0.3068624513793218,0.27199051033115046,27.199051033115047
6,00100000000010000000000000000000001000001100110010001100110011001100010011001111,0.0003851257700996238,10100000000000000000000000000000000000001100111011001100110011001100110111000101,0.3068624513793218,0.2755176041573586,27.55176041573586
7,11100000000010000001000000000000000000001100110010010100110011001100110011001101,0.0003885343936268296,10100000000000000000000000000000000000001100111011001100110011001100110111001101,0.30686245138189105,0.2646030868480873,26.460308684808734
8,00100000000000000000001000000000000000001100010010001100110011101110110011000101,0.00037544593038589275,10100000000000000000000000000000000000001100111011001100110011001100110111001101,0.30686245138189105,0.2617123370374841,26.171233703748406
9,00100000000000000000000000000000000000001100110011001100110011101111110011001101,0.0003848652157372402,10100000000000000000000000001000000000001100111011001100110011001100110111001101,0.30686243756951886,0.27211458107813247,27.211458107813247
10,00100000001000000010001000100000000000001100110010001100110011001100110011001101,0.00038679457231188553,10100000000010000000000100000000001000001100111010001100100011001100110011001101,0.30552045941478206,0.27263110997843265,27.263110997843267
11,10100000001000000000000000000000000000000100110011001100100011001101110011000000,0.009145048834730145,10100000000000000000000000000000001000011100111010001100100011001100110011001101,0.30648053690219074,0.2542188206924916,25.421882069249158
12,00100000000000000000000000001000000010011100010000101100110001001100110011001101,0.00037502524139316904,10100000000000010000000100000000000000011100111010011000110011001100110011001101,0.3064407321932342,0.25967118900007785,25.967118900007783
13,00100000000100000000001000000000001010001100100001101100110011001100110111001111,0.0003809102791875664,10100000000000000000000100000100000100001100111111101100010011011110110011101101,0.30768853652334516,0.26152109152584635,26.152109152584632
